C,C,W,W,W,W,D,D,G,PROJ,ACTUAL
Aleksander Barkov,Nicklas Backstrom,Jakub Voracek,Evgenii Dadonov,T.J. Oshie,Andre Burakovsky,Shayne Gostisbehere,Tyson Barrie,Braden Holtby,34.51,32.5
Sean Couturier,William Karlsson,Claude Giroux,Jonathan Marchessault,Clayton Keller,Alex Tuch,Tyson Barrie,Oliver Ekman-Larsson,Braden Holtby,34.51,34.0
Nathan MacKinnon,Mika Zibanejad,Alex Ovechkin,Mikko Rantanen,Chris Kreider,Jesper Fast,Keith Yandle,Erik Johnson,Antti Raanta,34.44,27.9
Sean Couturier,Nazem Kadri,Alex Ovechkin,Claude Giroux,Mitchell Marner,Travis Konecny,Tyson Barrie,Ivan Provorov,Antti Raanta,34.32,31.4
Nathan MacKinnon,Aleksander Barkov,Mikko Rantanen,Evgenii Dadonov,Nick Bjugstad,Matt Nieto,Tyson Barrie,Oliver Ekman-Larsson,Roberto Luongo,34.27,20.7
Nathan MacKinnon,Sean Couturier,Mikko Rantanen,Jonathan Marchessault,Gabriel Landeskog,Alex Tuch,Erik Johnson,Neal Pionk,Marc-Andre Fleury,34.26,27.3
Vincent Trocheck,Nicklas Backstrom,Claude Giroux,Jonathan Huberdeau,T.J. Oshie,Andre Burakovsky,Keith Yandle,Oliver Ekman-Larsson,Braden Holtby,34.23,46.0
Aleksander Barkov,Evgeny Kuznetsov,Alex Ovechkin,Jakub Voracek,Tom Wilson,Oskar Lindblom,Shayne Gostisbehere,Erik Johnson,Braden Holtby,34.21,30.0
Vincent Trocheck,Mika Zibanejad,Jakub Voracek,Jonathan Huberdeau,Chris Kreider,Jesper Fast,John Carlson,Shayne Gostisbehere,Marc-Andre Fleury,34.21,32.3
Vincent Trocheck,Derek Stepan,Alex Ovechkin,Jonathan Huberdeau,Clayton Keller,Richard Panik,John Carlson,Oliver Ekman-Larsson,Roberto Luongo,34.17,32.2
Auston Matthews,Evgeny Kuznetsov,Alex Ovechkin,Gabriel Landeskog,Zach Hyman,Tom Wilson,Morgan Rielly,Aaron Ekblad,Braden Holtby,34.08,32.0
Nathan MacKinnon,Erik Haula,Mikko Rantanen,Gabriel Landeskog,James Neal,Alex Tuch,Shayne Gostisbehere,Morgan Rielly,Braden Holtby,34.08,36.0
Aleksander Barkov,Evgeny Kuznetsov,Alex Ovechkin,Claude Giroux,Travis Konecny,Tom Wilson,Tyson Barrie,Brady Skjei,Roberto Luongo,34.07,22.7
Vincent Trocheck,Nazem Kadri,Jonathan Huberdeau,Mitchell Marner,Clayton Keller,Patrick Marleau,John Carlson,Morgan Rielly,Braden Holtby,34.06,41.0
Evgeny Kuznetsov,Nazem Kadri,Alex Ovechkin,Mikko Rantanen,Mitchell Marner,Tom Wilson,Morgan Rielly,Dmitry Orlov,Marc-Andre Fleury,34.06,24.3
